strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index
11,output\processed_images\3_otsuOffset\membrane\strip_11.png,1.315,0.7604562737642585,200,263,80.05741626794259,5,8.63,5.747252747252759,6375.0,101,lumen,3_otsuOffset,4
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,16.39,6.761904761904763,7650.0,26,lumen,3_otsuOffset,0
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,0.0,1.779761904761905,2932.5,36,lumen,3_otsuOffset,1
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,20.49,6.617216117216117,7650.0,47,lumen,3_otsuOffset,2
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,0.0,2.8999999999999986,765.0,58,lumen,3_otsuOffset,3
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,16.72,6.5,7650.0,68,lumen,3_otsuOffset,4
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,6.65,2.1466165413533815,7395.0,78,lumen,3_otsuOffset,5
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,11.7,8.170040485829958,7650.0,86,lumen,3_otsuOffset,6
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,1.72,0.5499999999999972,3697.5,93,lumen,3_otsuOffset,7
12,output\processed_images\3_otsuOffset\membrane\strip_12.png,1.315,0.7604562737642585,200,263,143.98809523809524,16,2.9,0.63333333333334,7650.0,96,lumen,3_otsuOffset,8
