strip,filename,box_size,x,y
100,./raw_images/2023-7-26_Wild Type_500uE 1 hour_2_025_19k.png,200,276,1580
101,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,1264,1220
102,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,1564,1400
103,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,1148,1720
104,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,792,1464
105,./raw_images/2023-7-26_Wild Type_500uE 1 hour_3_024_19k.png,200,1092,732
106,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,200,900,660
107,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,200,1060,1444
108,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,200,804,944
109,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_004_25k.png,200,1016,1056
110,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,1268,532
111,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,1664,968
112,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,1732,464
113,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,716,1536
114,./raw_images/2023-9-4_Wild Type_Dark Adapted_1_006_19k.png,200,480,1384
115,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1028,464
116,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1836,1688
117,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1528,568
118,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,1048,1252
119,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_005_25k.png,200,548,732
120,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1376,276
121,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1308,672
122,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1132,784
123,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1292,1172
124,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_012_25k.png,200,1176,1308
125,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,1140,208
126,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,1016,764
127,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,1296,752
128,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,1356,1256
129,./raw_images/2023-9-4_Wild Type_Dark Adapted_2_016_25k.png,200,920,1856
130,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,200,1372,1288
131,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,200,1584,1440
132,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,1580,1328
133,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,1168,1768
134,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,740,540
135,./raw_images/2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,200,504,676
136,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1064,1104
137,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,200,512,728
138,./raw_images/2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,200,1052,1084
