strip,grana_height,grana_height_nm,num_lumen,repeat_distance,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width
106,122.55187969924812,111.91952483949599,7,14.35,1.095,0.91324200913242,200,219,6.8525345622119715
106,122.55187969924812,111.91952483949599,7,14.66,1.095,0.91324200913242,200,219,6.089743589743591
106,122.55187969924812,111.91952483949599,7,17.81,1.095,0.91324200913242,200,219,6.089743589743591
106,122.55187969924812,111.91952483949599,7,18.2,1.095,0.91324200913242,200,219,6.089743589743591
106,122.55187969924812,111.91952483949599,7,17.0,1.095,0.91324200913242,200,219,6.089743589743591
106,122.55187969924812,111.91952483949599,7,16.89,1.095,0.91324200913242,200,219,6.089743589743591
106,122.55187969924812,111.91952483949599,7,17.03,1.095,0.91324200913242,200,219,6.089743589743591
106,122.55187969924812,111.91952483949599,7,14.35,1.095,0.91324200913242,200,219,6.089743589743591
106,122.55187969924812,111.91952483949599,7,14.66,1.095,0.91324200913242,200,219,6.077272727272728
106,122.55187969924812,111.91952483949599,7,17.81,1.095,0.91324200913242,200,219,6.077272727272728
106,122.55187969924812,111.91952483949599,7,18.2,1.095,0.91324200913242,200,219,6.077272727272728
106,122.55187969924812,111.91952483949599,7,17.0,1.095,0.91324200913242,200,219,6.077272727272728
106,122.55187969924812,111.91952483949599,7,16.89,1.095,0.91324200913242,200,219,6.077272727272728
106,122.55187969924812,111.91952483949599,7,17.03,1.095,0.91324200913242,200,219,6.077272727272728
106,122.55187969924812,111.91952483949599,7,14.35,1.095,0.91324200913242,200,219,6.077272727272728
106,122.55187969924812,111.91952483949599,7,14.66,1.095,0.91324200913242,200,219,6.446524064171129
106,122.55187969924812,111.91952483949599,7,17.81,1.095,0.91324200913242,200,219,6.446524064171129
106,122.55187969924812,111.91952483949599,7,18.2,1.095,0.91324200913242,200,219,6.446524064171129
106,122.55187969924812,111.91952483949599,7,17.0,1.095,0.91324200913242,200,219,6.446524064171129
106,122.55187969924812,111.91952483949599,7,16.89,1.095,0.91324200913242,200,219,6.446524064171129
106,122.55187969924812,111.91952483949599,7,17.03,1.095,0.91324200913242,200,219,6.446524064171129
106,122.55187969924812,111.91952483949599,7,14.35,1.095,0.91324200913242,200,219,6.446524064171129
106,122.55187969924812,111.91952483949599,7,14.66,1.095,0.91324200913242,200,219,5.575187969924798
106,122.55187969924812,111.91952483949599,7,17.81,1.095,0.91324200913242,200,219,5.575187969924798
106,122.55187969924812,111.91952483949599,7,18.2,1.095,0.91324200913242,200,219,5.575187969924798
106,122.55187969924812,111.91952483949599,7,17.0,1.095,0.91324200913242,200,219,5.575187969924798
106,122.55187969924812,111.91952483949599,7,16.89,1.095,0.91324200913242,200,219,5.575187969924798
106,122.55187969924812,111.91952483949599,7,17.03,1.095,0.91324200913242,200,219,5.575187969924798
106,122.55187969924812,111.91952483949599,7,14.35,1.095,0.91324200913242,200,219,5.575187969924798
134,69.8362480127186,63.77739544540511,4,14.92,1.095,0.91324200913242,200,219,6.554545454545455
134,69.8362480127186,63.77739544540511,4,17.33,1.095,0.91324200913242,200,219,6.554545454545455
134,69.8362480127186,63.77739544540511,4,16.63,1.095,0.91324200913242,200,219,6.554545454545455
134,69.8362480127186,63.77739544540511,4,14.56,1.095,0.91324200913242,200,219,6.554545454545455
134,69.8362480127186,63.77739544540511,4,14.92,1.095,0.91324200913242,200,219,6.709090909090904
134,69.8362480127186,63.77739544540511,4,17.33,1.095,0.91324200913242,200,219,6.709090909090904
134,69.8362480127186,63.77739544540511,4,16.63,1.095,0.91324200913242,200,219,6.709090909090904
134,69.8362480127186,63.77739544540511,4,14.56,1.095,0.91324200913242,200,219,6.709090909090904
134,69.8362480127186,63.77739544540511,4,14.92,1.095,0.91324200913242,200,219,6.080808080808076
134,69.8362480127186,63.77739544540511,4,17.33,1.095,0.91324200913242,200,219,6.080808080808076
134,69.8362480127186,63.77739544540511,4,16.63,1.095,0.91324200913242,200,219,6.080808080808076
134,69.8362480127186,63.77739544540511,4,14.56,1.095,0.91324200913242,200,219,6.080808080808076
134,69.8362480127186,63.77739544540511,4,14.92,1.095,0.91324200913242,200,219,5.6880341880341945
134,69.8362480127186,63.77739544540511,4,17.33,1.095,0.91324200913242,200,219,5.6880341880341945
134,69.8362480127186,63.77739544540511,4,16.63,1.095,0.91324200913242,200,219,5.6880341880341945
134,69.8362480127186,63.77739544540511,4,14.56,1.095,0.91324200913242,200,219,5.6880341880341945
135,71.76190476190476,65.53598608393128,4,15.89,1.095,0.91324200913242,200,219,6.715686274509807
135,71.76190476190476,65.53598608393128,4,18.32,1.095,0.91324200913242,200,219,6.715686274509807
135,71.76190476190476,65.53598608393128,4,16.15,1.095,0.91324200913242,200,219,6.715686274509807
135,71.76190476190476,65.53598608393128,4,14.31,1.095,0.91324200913242,200,219,6.715686274509807
