strip,grana_height,num_lumen,repeat_distance,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width,type,index,membrane_width
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,5,8.5625
161,107.23313953488373,8,13.45,0.88,1.1363636363636365,500,440,5.0314685314685335,lumen,6,
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,6,8.813747228381374
161,107.23313953488373,8,10.9,0.88,1.1363636363636365,500,440,4.705555555555563,lumen,7,
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,7,8.023076923076914
161,107.23313953488373,8,,0.88,1.1363636363636365,500,440,,membrane,8,4.369444444444454
176,87.4090909090909,6,11.78,0.88,1.1363636363636365,500,440,4.51923076923077,lumen,0,
176,87.4090909090909,6,,0.88,1.1363636363636365,500,440,,membrane,0,4.82167832167832
176,87.4090909090909,6,14.42,0.88,1.1363636363636365,500,440,5.055555555555557,lumen,1,
176,87.4090909090909,6,,0.88,1.1363636363636365,500,440,,membrane,1,9.694444444444443
176,87.4090909090909,6,13.71,0.88,1.1363636363636365,500,440,5.006993006993007,lumen,2,
176,87.4090909090909,6,,0.88,1.1363636363636365,500,440,,membrane,2,9.03846153846154
176,87.4090909090909,6,14.42,0.88,1.1363636363636365,500,440,5.5909090909090935,lumen,3,
176,87.4090909090909,6,,0.88,1.1363636363636365,500,440,,membrane,3,8.36363636363636
176,87.4090909090909,6,15.38,0.88,1.1363636363636365,500,440,6.208333333333329,lumen,4,
176,87.4090909090909,6,,0.88,1.1363636363636365,500,440,,membrane,4,9.291666666666671
176,87.4090909090909,6,12.75,0.88,1.1363636363636365,500,440,5.676151761517616,lumen,5,
176,87.4090909090909,6,,0.88,1.1363636363636365,500,440,,membrane,5,9.055555555555557
176,87.4090909090909,6,,0.88,1.1363636363636365,500,440,,membrane,6,5.08647450110864
187,79.04040404040404,5,13.08,0.88,1.1363636363636365,500,440,5.334688346883468,lumen,0,
187,79.04040404040404,5,,0.88,1.1363636363636365,500,440,,membrane,0,5.373737373737374
187,79.04040404040404,5,16.62,0.88,1.1363636363636365,500,440,6.583333333333336,lumen,1,
187,79.04040404040404,5,,0.88,1.1363636363636365,500,440,,membrane,1,10.109756097560975
187,79.04040404040404,5,15.41,0.88,1.1363636363636365,500,440,5.421052631578945,lumen,2,
187,79.04040404040404,5,,0.88,1.1363636363636365,500,440,,membrane,2,9.969298245614034
187,79.04040404040404,5,16.14,0.88,1.1363636363636365,500,440,6.4290909090909025,lumen,3,
187,79.04040404040404,5,,0.88,1.1363636363636365,500,440,,membrane,3,10.006315789473689
187,79.04040404040404,5,12.75,0.88,1.1363636363636365,500,440,5.681818181818187,lumen,4,
187,79.04040404040404,5,,0.88,1.1363636363636365,500,440,,membrane,4,9.409090909090907
187,79.04040404040404,5,,0.88,1.1363636363636365,500,440,,membrane,5,4.7222222222222285
229,121.96480938416421,7,14.89,1.095,0.91324200913242,200,219,6.601626016260159,lumen,0,
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,0,6.086021505376344
229,121.96480938416421,7,18.68,1.095,0.91324200913242,200,219,8.071428571428577,lumen,1,
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,1,10.493612078977932
229,121.96480938416421,7,17.17,1.095,0.91324200913242,200,219,6.562091503267979,lumen,2,
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,2,10.722222222222221
229,121.96480938416421,7,17.31,1.095,0.91324200913242,200,219,6.959183673469383,lumen,3,
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,3,10.49459783913565
229,121.96480938416421,7,16.51,1.095,0.91324200913242,200,219,5.894285714285715,lumen,4,
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,4,10.214285714285722
229,121.96480938416421,7,17.44,1.095,0.91324200913242,200,219,6.817477096546867,lumen,5,
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,5,11.017674418604642
229,121.96480938416421,7,13.65,1.095,0.91324200913242,200,219,5.264705882352928,lumen,6,
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,6,10.220142602495557
229,121.96480938416421,7,,1.095,0.91324200913242,200,219,,membrane,7,6.5454545454545325
232,165.23076923076923,11,12.65,0.88,1.1363636363636365,500,440,6.258928571428569,lumen,0,
232,165.23076923076923,11,,0.88,1.1363636363636365,500,440,,membrane,0,5.16826923076923
232,165.23076923076923,11,15.3,0.88,1.1363636363636365,500,440,6.883928571428569,lumen,1,
