strip,grana_height,num_lumen,px_per_nm,nm_per_px,scale,scale_pixels,membrane_width,type,index
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,8.789044289044298,membrane,4
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,8.5625,membrane,5
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,8.813747228381374,membrane,6
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,8.023076923076914,membrane,7
161,107.23313953488373,8,0.88,1.1363636363636365,500,440,4.369444444444454,membrane,8
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,4.82167832167832,membrane,0
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.694444444444443,membrane,1
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.03846153846154,membrane,2
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,8.36363636363636,membrane,3
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.291666666666671,membrane,4
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.055555555555557,membrane,5
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,5.08647450110864,membrane,6
187,79.04040404040404,5,0.88,1.1363636363636365,500,440,5.373737373737374,membrane,0
187,79.04040404040404,5,0.88,1.1363636363636365,500,440,10.109756097560975,membrane,1
187,79.04040404040404,5,0.88,1.1363636363636365,500,440,9.969298245614034,membrane,2
187,79.04040404040404,5,0.88,1.1363636363636365,500,440,10.006315789473689,membrane,3
187,79.04040404040404,5,0.88,1.1363636363636365,500,440,9.409090909090907,membrane,4
187,79.04040404040404,5,0.88,1.1363636363636365,500,440,4.7222222222222285,membrane,5
229,121.96480938416421,7,1.095,0.91324200913242,200,219,6.086021505376344,membrane,0
229,121.96480938416421,7,1.095,0.91324200913242,200,219,10.493612078977932,membrane,1
229,121.96480938416421,7,1.095,0.91324200913242,200,219,10.722222222222221,membrane,2
229,121.96480938416421,7,1.095,0.91324200913242,200,219,10.49459783913565,membrane,3
229,121.96480938416421,7,1.095,0.91324200913242,200,219,10.214285714285722,membrane,4
229,121.96480938416421,7,1.095,0.91324200913242,200,219,11.017674418604642,membrane,5
229,121.96480938416421,7,1.095,0.91324200913242,200,219,10.220142602495557,membrane,6
229,121.96480938416421,7,1.095,0.91324200913242,200,219,6.5454545454545325,membrane,7
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,5.16826923076923,membrane,0
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.345238095238095,membrane,1
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.482954545454547,membrane,2
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.528205128205123,membrane,3
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.943050193050198,membrane,4
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,9.43518518518519,membrane,5
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.227564102564102,membrane,6
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,9.555555555555543,membrane,7
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.455357142857139,membrane,8
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.38095238095238,membrane,9
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,8.551282051282044,membrane,10
232,165.23076923076923,11,0.88,1.1363636363636365,500,440,6.0454545454545325,membrane,11
