strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,peaks,type,process,index,lumen_width_nm
21,output\processed_images\0_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.42401960784314,5,15.56,5.357142857142854,4717.5,52,lumen,0_otsuOffset,1,4.073872895165668
21,output\processed_images\0_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.42401960784314,5,19.35,6.270833333333329,7650.0,71,lumen,0_otsuOffset,2,4.768694550063367
21,output\processed_images\0_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.42401960784314,5,18.21,5.606060606060609,7650.0,88,lumen,0_otsuOffset,3,4.263163958981451
21,output\processed_images\0_otsuOffset\membrane\strip_21.png,1.315,0.7604562737642585,200,263,88.42401960784314,5,14.66,5.035714285714292,7650.0,107,lumen,0_otsuOffset,4,3.829440521455735
22,output\processed_images\0_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.22762148337597,5,0.0,3.854545454545452,1530.0,56,lumen,0_otsuOffset,0,2.9312132734185945
22,output\processed_images\0_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.22762148337597,5,24.79,5.1857142857142975,7650.0,75,lumen,0_otsuOffset,1,3.943508962520378
22,output\processed_images\0_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.22762148337597,5,16.65,2.941176470588232,4972.5,94,lumen,0_otsuOffset,2,2.23663609930664
22,output\processed_images\0_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.22762148337597,5,23.33,3.892352941176469,6247.5,111,lumen,0_otsuOffset,3,2.95996421382241
22,output\processed_images\0_otsuOffset\membrane\strip_22.png,1.315,0.7604562737642585,200,263,89.22762148337597,5,0.0,4.392857142857139,1912.5,129,lumen,0_otsuOffset,4,3.340575774035847
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,16.82,5.966666666666669,7650.0,49,lumen,0_otsuOffset,0,4.5373891001267435
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,19.23,5.35049019607844,7650.0,69,lumen,0_otsuOffset,1,4.068813837322008
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,20.9,7.301948051948045,7650.0,89,lumen,0_otsuOffset,2,5.552812206804597
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,2.57,3.0,1020.0,100,lumen,0_otsuOffset,3,2.2813688212927756
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,7.34,1.5499999999999972,12240.0,109,lumen,0_otsuOffset,4,1.1787072243345986
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,10.86,7.666666666666657,6757.5,111,lumen,0_otsuOffset,5,5.830164765525975
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,13.0,5.669999999999988,7650.0,130,lumen,0_otsuOffset,6,4.3117870722433365
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,6.23,0.5909090909090935,7140.0,135,lumen,0_otsuOffset,7,0.44936052540615473
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,19.81,5.254545454545479,7650.0,149,lumen,0_otsuOffset,8,3.9958520566885767
23,output\processed_images\0_otsuOffset\membrane\strip_23.png,1.315,0.7604562737642585,200,263,140.6974358974359,10,16.25,4.56613756613757,7650.0,169,lumen,0_otsuOffset,9,3.472347959039977
24,output\processed_images\0_otsuOffset\membrane\strip_24.png,1.315,0.7604562737642585,200,263,59.14066496163683,3,13.46,2.7449275362318843,6375.0,40,lumen,0_otsuOffset,0,2.0873973659558054
24,output\processed_images\0_otsuOffset\membrane\strip_24.png,1.315,0.7604562737642585,200,263,59.14066496163683,3,22.01,7.25,7650.0,60,lumen,0_otsuOffset,1,5.513307984790874
24,output\processed_images\0_otsuOffset\membrane\strip_24.png,1.315,0.7604562737642585,200,263,59.14066496163683,3,15.17,3.5833333333333286,6630.0,79,lumen,0_otsuOffset,2,2.7249683143219228
25,output\processed_images\0_otsuOffset\membrane\strip_25.png,1.315,0.7604562737642585,200,263,74.83333333333333,3,26.97,6.513888888888886,7650.0,61,lumen,0_otsuOffset,0,4.953527672158848
25,output\processed_images\0_otsuOffset\membrane\strip_25.png,1.315,0.7604562737642585,200,263,74.83333333333333,3,22.41,3.2545454545454504,7650.0,81,lumen,0_otsuOffset,1,2.474939509160038
25,output\processed_images\0_otsuOffset\membrane\strip_25.png,1.315,0.7604562737642585,200,263,74.83333333333333,3,0.0,2.4715909090909065,2550.0,99,lumen,0_otsuOffset,2,1.879536812996887
26,output\processed_images\0_otsuOffset\membrane\strip_26.png,1.315,0.7604562737642585,200,263,93.78178835110744,7,13.12,3.615384615384613,5355.0,39,lumen,0_otsuOffset,0,2.74934191284001
26,output\processed_images\0_otsuOffset\membrane\strip_26.png,1.315,0.7604562737642585,200,263,93.78178835110744,7,19.45,7.297777777777782,7650.0,56,lumen,0_otsuOffset,1,5.549640895648503
26,output\processed_images\0_otsuOffset\membrane\strip_26.png,1.315,0.7604562737642585,200,263,93.78178835110744,7,6.37,0.75,7522.5,72,lumen,0_otsuOffset,2,0.5703422053231939
26,output\processed_images\0_otsuOffset\membrane\strip_26.png,1.315,0.7604562737642585,200,263,93.78178835110744,7,3.28,8.235294117647058,6375.0,74,lumen,0_otsuOffset,3,6.262581078058599
26,output\processed_images\0_otsuOffset\membrane\strip_26.png,1.315,0.7604562737642585,200,263,93.78178835110744,7,9.55,1.5714285714285694,11602.5,77,lumen,0_otsuOffset,4,1.1950027159152619
