strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,outliers,peaks,type,index,process,membrane_type,membrane_width_nm
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,0.8125,2932.5,True,62,membrane,5,0_otsuOffset,inner,0.6178707224334601
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,14.72222222222222,7650.0,False,71,membrane,6,0_otsuOffset,inner,11.19560625264047
14,output\processed_images\0_otsuOffset\membrane\strip_14.png,1.315,0.7604562737642585,200,263,70.85795454545455,8,15.212500000000006,7650.0,False,88,membrane,7,0_otsuOffset,outer,11.568441064638787
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,8.497368421052633,7777.5,False,19,membrane,0,0_otsuOffset,outer,6.461877126275766
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,13.466666666666663,7650.0,False,33,membrane,1,0_otsuOffset,inner,10.24081115335868
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,13.466666666666663,7650.0,False,38,membrane,2,0_otsuOffset,inner,10.24081115335868
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,12.93452380952381,7650.0,False,52,membrane,3,0_otsuOffset,inner,9.836139779105558
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,12.93452380952381,7650.0,False,57,membrane,4,0_otsuOffset,inner,9.836139779105558
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,14.11071428571428,7650.0,False,73,membrane,5,0_otsuOffset,inner,10.730581205866372
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,12.64648648648648,7140.0,False,90,membrane,6,0_otsuOffset,inner,9.61709998972356
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,4.439393939393938,10200.0,True,98,membrane,7,0_otsuOffset,inner,3.3759649729231462
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,0.7000000000000028,13005.0,True,111,membrane,8,0_otsuOffset,inner,0.5323193916349831
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,12.956896551724142,7650.0,False,117,membrane,9,0_otsuOffset,inner,9.853153271273111
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,12.997584541062793,7650.0,False,136,membrane,10,0_otsuOffset,inner,9.884094708032542
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,13.225108225108244,7650.0,False,152,membrane,11,0_otsuOffset,inner,10.057116520994862
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,13.225108225108244,7650.0,False,158,membrane,12,0_otsuOffset,inner,10.057116520994862
15,output\processed_images\0_otsuOffset\membrane\strip_15.png,1.315,0.7604562737642585,200,263,157.561004784689,14,7.051136363636374,7650.0,False,169,membrane,13,0_otsuOffset,outer,5.3620808848945805
16,output\processed_images\0_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.19780219780219,3,9.714285714285712,7650.0,False,28,membrane,0,0_otsuOffset,outer,7.387289516567081
16,output\processed_images\0_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.19780219780219,3,15.434065934065934,7650.0,False,43,membrane,1,0_otsuOffset,inner,11.73693226925166
16,output\processed_images\0_otsuOffset\membrane\strip_16.png,1.315,0.7604562737642585,200,263,41.19780219780219,3,9.472934472934469,7650.0,False,60,membrane,2,0_otsuOffset,outer,7.203752450900736
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,9,7.5,7650.0,False,37,membrane,0,0_otsuOffset,outer,5.703422053231939
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,9,17.532258064516128,7650.0,False,40,membrane,1,0_otsuOffset,inner,13.332515638415305
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,9,26.032258064516128,7650.0,False,48,membrane,2,0_otsuOffset,inner,19.796393965411504
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,9,14.74193548387096,7650.0,False,70,membrane,3,0_otsuOffset,inner,11.210597326137613
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,9,15.233333333333334,7650.0,False,95,membrane,4,0_otsuOffset,inner,11.584283903675539
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,9,13.587179487179483,7650.0,False,117,membrane,5,0_otsuOffset,inner,10.332455883786679
19,output\processed_images\0_otsuOffset\membrane\strip_19.png,1.315,0.7604562737642585,200,263,127.22222222222224,9,0.5833333333333428,1402.5,True,128,membrane,6,0_otsuOffset,inner,0.443599493029158
