2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,324,704,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,476,412,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,964,412,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1488,552,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1524,820,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1964,1256,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,1944,1892,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,380,376,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1124,1724,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1236,1416,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1656,1512,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1808,640,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,916,764,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,356,1092,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1260,1564,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1592,1956,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1308,1956,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1012,984,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,772,1016,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1248,536,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1660,532,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1416,1040,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,232,1076,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1132,1644,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1844,1776,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1912,1364,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1164,932,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,1856,888,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,612,608,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,900,480,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,224,496,200
2022-1-10_Wild Type_Dark Adapted_1_120_25k.png,276,1336,200
2022-1-10_Wild Type_Dark Adapted_1_12_29k.png,740,1284,200
