filename,x,y,scale
2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,1372,1288,200
2023-9-4_Wild Type_Dark Adapted_3_003_25k.png,1584,1440,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,1580,1328,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,1168,1768,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,740,540,200
2023-9-4_Wild Type_Dark Adapted_3_012_25k.png,504,676,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1064,1104,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,512,728,200
2022-1-10_Wild Type_500uE 1 hour_1_13_29k.png,1052,1084,200
2022-1-10_Wild Type_500uE 1 hour_1_16_29k.png,540,736,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,1680,1200,200
2022-1-10_Wild Type_500uE 1 hour_1_25_29k.png,712,1040,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,324,1572,200
2022-1-10_Wild Type_500uE 1 hour_2_41_25k.png,1212,1640,200
2022-1-10_Wild Type_500uE 1 hour_3_28_19k.png,148,868,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,408,1096,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1144,1752,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1036,888,200
2022-1-10_Wild Type_500uE 1 hour_3_64_19k.png,1228,1432,200
2022-1-10_Wild Type_500uE 1 hour_3_69_19k.png,1028,956,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,836,596,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,1200,636,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,1488,704,200
2022-1-10_Wild Type_Dark Adapted_3_14_19k.png,1252,1484,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,672,456,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,1404,560,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,1364,1372,200
2022-1-10_Wild Type_Dark Adapted_3_24_25k.png,48,1172,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,840,984,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,652,356,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,876,408,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1564,340,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1204,400,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1372,684,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1420,1048,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,1392,1424,200
2023-2-14_Wild Type_Dark Adapted_1_013_19k.png,860,1624,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,1668,592,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,1436,268,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,956,524,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,1496,1024,200
2023-2-14_Wild Type_Dark Adapted_1_023_19k.png,172,880,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,1832,1052,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,804,1300,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,908,1616,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,1404,576,200
2023-2-14_Wild Type_Dark Adapted_1_025_19k.png,1904,468,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,656,840,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,1608,936,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,1832,332,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,992,1040,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,436,1720,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,1200,768,200
2023-2-14_Wild Type_Dark Adapted_2_009_19k.png,212,1328,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,908,300,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,1124,376,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,1700,556,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,864,1284,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,768,1868,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,596,1932,200
2023-2-14_Wild Type_Dark Adapted_2_014_19k.png,444,1032,200
2023-2-14_Wild Type_Dark Adapted_2_016_19k.png,648,464,200
