strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,membrane_width,membrane_width_heights,peaks,type,index,process,membrane_width_nm
187,output\trial_2\processed_images\0_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.625,6.625,7650.0,97,membrane,5,0_otsuOffset,7.528409090909092
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,7.0,7650.0,25,membrane,0,0_otsuOffset,6.392694063926941
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.930555555555555,7650.0,40,membrane,1,0_otsuOffset,10.89548452562151
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.848739495798313,7650.0,59,membrane,2,0_otsuOffset,10.82076666282951
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,12.07717391304348,7650.0,76,membrane,3,0_otsuOffset,11.029382568989478
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.34551495016612,7650.0,93,membrane,4,0_otsuOffset,10.361200867731615
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,12.63383838383838,7650.0,110,membrane,5,0_otsuOffset,11.537751948710849
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,11.340909090909092,7650.0,128,membrane,6,0_otsuOffset,10.356994603569946
229,output\trial_2\processed_images\0_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.90524193548389,7.72697368421052,7650.0,141,membrane,7,0_otsuOffset,7.056596971881754
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,6.205082742316783,7650.0,25,membrane,0,0_otsuOffset,7.051230388996345
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.81818181818182,7650.0,38,membrane,1,0_otsuOffset,11.157024793388432
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.65,7650.0,53,membrane,2,0_otsuOffset,10.965909090909092
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.456043956043956,7650.0,68,membrane,3,0_otsuOffset,10.745504495504496
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.551282051282058,7650.0,83,membrane,4,0_otsuOffset,10.853729603729613
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,11.11904761904762,7650.0,98,membrane,5,0_otsuOffset,12.635281385281388
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.104395604395606,7650.0,112,membrane,6,0_otsuOffset,10.345904095904098
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,10.820512820512832,7650.0,128,membrane,7,0_otsuOffset,12.29603729603731
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.60269360269362,7650.0,142,membrane,8,0_otsuOffset,10.91215182124275
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.6801346801347,7650.0,157,membrane,9,0_otsuOffset,11.000153045607615
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,9.607692307692332,7650.0,172,membrane,10,0_otsuOffset,10.917832167832197
232,output\trial_2\processed_images\0_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.3677811550152,8.0,7650.0,184,membrane,11,0_otsuOffset,9.090909090909092
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,5.9671957671957685,7650.0,26,membrane,0,1_otsuOffset,6.7809042809042825
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,10.481250000000005,7650.0,39,membrane,1,1_otsuOffset,11.91051136363637
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,10.680952380952377,7650.0,52,membrane,2,1_otsuOffset,12.137445887445883
101,output\trial_2\processed_images\1_otsuOffset\membrane\strip_101.png,0.88,1.1363636363636365,500,440,73.48148148148148,9.62162162162162,7650.0,67,membrane,3,1_otsuOffset,10.933660933660931
