strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_membrane,membrane_width,membrane_width_heights,peaks,type,index,process,membrane_type
187,output\trial_2\processed_images\3_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,6,11.217086834733891,7650.0,69,membrane,3,3_otsuOffset,inner
187,output\trial_2\processed_images\3_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,6,10.954415954415964,7650.0,84,membrane,4,3_otsuOffset,inner
187,output\trial_2\processed_images\3_otsuOffset\membrane\strip_187.png,0.88,1.1363636363636365,500,440,80.74632352941177,6,6.6875,7650.0,97,membrane,5,3_otsuOffset,outer
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,7.00940860215054,7650.0,25,membrane,0,3_otsuOffset,outer
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,11.990033222591357,7650.0,40,membrane,1,3_otsuOffset,inner
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,12.0625,7650.0,58,membrane,2,3_otsuOffset,inner
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,12.077173913043481,7650.0,76,membrane,3,3_otsuOffset,inner
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,11.767361111111114,7650.0,93,membrane,4,3_otsuOffset,inner
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,12.728506787330303,7650.0,110,membrane,5,3_otsuOffset,inner
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,11.680288461538467,7650.0,128,membrane,6,3_otsuOffset,inner
229,output\trial_2\processed_images\3_otsuOffset\membrane\strip_229.png,1.095,0.91324200913242,200,219,122.96774193548387,8,7.78947368421052,7650.0,141,membrane,7,3_otsuOffset,outer
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,6.308630393996246,7650.0,25,membrane,0,3_otsuOffset,outer
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,10.363636363636367,7650.0,38,membrane,1,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,9.67016806722689,7650.0,53,membrane,2,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,9.681249999999999,7650.0,68,membrane,3,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,9.57380457380458,7650.0,83,membrane,4,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,11.235294117647072,7650.0,98,membrane,5,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,9.128205128205138,7650.0,112,membrane,6,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,10.820512820512832,7650.0,128,membrane,7,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,9.888888888888886,7650.0,142,membrane,8,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,9.815151515151513,7650.0,157,membrane,9,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,9.607692307692332,7650.0,172,membrane,10,3_otsuOffset,inner
232,output\trial_2\processed_images\3_otsuOffset\membrane\strip_232.png,0.88,1.1363636363636365,500,440,166.43406593406593,12,8.042328042328052,7650.0,184,membrane,11,3_otsuOffset,outer
