strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,membrane_width,membrane_width_heights,type,index,process,membrane_width_nm
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,9.077369439071576,7650.0,membrane,5,100_otsuOffset,10.315192544399519
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,8.813747228381374,7650.0,membrane,6,100_otsuOffset,10.01562185043338
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,8.058333333333323,7650.0,membrane,7,100_otsuOffset,9.157196969696958
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.35897435897436,8,4.386752136752122,7650.0,membrane,8,100_otsuOffset,4.984945609945593
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,5.140046296296298,7650.0,membrane,0,100_otsuOffset,5.8409617003367025
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,9.822222222222225,7650.0,membrane,1,100_otsuOffset,11.161616161616166
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,9.138947368421055,7650.0,membrane,2,100_otsuOffset,10.385167464114836
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,9.015873015873012,7650.0,membrane,3,100_otsuOffset,10.245310245310241
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,9.373730043541356,7650.0,membrane,4,100_otsuOffset,10.651965958569724
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,9.71052631578948,7650.0,membrane,5,100_otsuOffset,11.034688995215319
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,87.70738636363636,6,5.196969696969688,7650.0,membrane,6,100_otsuOffset,5.905647382920101
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,5.6221804511278215,7650.0,membrane,0,100_otsuOffset,6.388841421736162
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,10.647674418604655,7650.0,membrane,1,100_otsuOffset,12.099630021141655
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,10.066666666666665,7650.0,membrane,2,100_otsuOffset,11.439393939393938
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,10.203947368421057,7650.0,membrane,3,100_otsuOffset,11.595394736842112
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,9.884381338742386,7650.0,membrane,4,100_otsuOffset,11.232251521298167
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.2420634920635,5,4.777777777777772,7650.0,membrane,5,100_otsuOffset,5.429292929292924
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,6.121212121212121,7650.0,membrane,0,100_otsuOffset,5.59014805590148
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,10.669207317073171,7650.0,membrane,1,100_otsuOffset,9.74356832609422
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,10.74561403508772,7650.0,membrane,2,100_otsuOffset,9.81334615076504
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,10.651583710407238,7650.0,membrane,3,100_otsuOffset,9.727473708134463
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,10.55244755244756,7650.0,membrane,4,100_otsuOffset,9.636938404061699
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,11.28365384615384,7650.0,membrane,5,100_otsuOffset,10.30470670881629
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,10.269230769230774,7650.0,membrane,6,100_otsuOffset,9.37829293993678
229,output\trial_1\rois\strip_229.png,1.095,0.91324200913242,200,219,122.09284332688588,7,6.7632978723404165,7650.0,membrane,7,100_otsuOffset,6.176527737297183
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,4.89903846153846,7650.0,membrane,0,100_otsuOffset,5.567089160839159
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.060924369747902,7650.0,membrane,1,100_otsuOffset,9.16014132925898
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.300480769230766,7650.0,membrane,2,100_otsuOffset,9.432364510489508
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.50666666666666,7650.0,membrane,3,100_otsuOffset,9.66666666666666
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.693050193050198,7650.0,membrane,4,100_otsuOffset,9.878466128466135
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,9.43518518518519,7650.0,membrane,5,100_otsuOffset,10.721801346801353
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.209230769230771,7650.0,membrane,6,100_otsuOffset,9.328671328671332
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,9.204678362573103,7650.0,membrane,7,100_otsuOffset,10.459861775651255
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.438311688311671,7650.0,membrane,8,100_otsuOffset,9.588990554899627
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.329670329670336,7650.0,membrane,9,100_otsuOffset,9.465534465534473
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,8.551282051282044,7650.0,membrane,10,100_otsuOffset,9.71736596736596
232,output\trial_1\rois\strip_232.png,0.88,1.1363636363636365,500,440,164.96153846153845,11,6.043478260869563,7650.0,membrane,11,100_otsuOffset,6.8675889328063215
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,5.826923076923077,7650.0,membrane,0,101_otsuOffset,6.621503496503497
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,9.685314685314689,7650.0,membrane,1,101_otsuOffset,11.00603941513033
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,9.492165898617507,7650.0,membrane,2,101_otsuOffset,10.786552157519896
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,9.216192937123168,7650.0,membrane,3,101_otsuOffset,10.472946519458146
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,10.739938080495364,7650.0,membrane,4,101_otsuOffset,12.204475091472005
101,output\trial_1\rois\strip_101.png,0.88,1.1363636363636365,500,440,73.41666666666667,5,5.272727272727266,7650.0,membrane,5,101_otsuOffset,5.991735537190076
106,output\trial_1\rois\strip_106.png,1.095,0.91324200913242,200,219,122.5987525987526,7,6.293322734499206,7650.0,membrane,0,101_otsuOffset,5.747326698172791
