strip,grana_height,num_lumen,repeat_distance,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width,type,index,process,lumen_width_nm
101,72.84482758620689,5,14.13,0.88,1.1363636363636365,500,440,4.861471861471863,lumen,1,11_simple,5.524399842581663
101,72.84482758620689,5,13.89,0.88,1.1363636363636365,500,440,4.802325581395351,lumen,2,11_simple,5.457188160676536
101,72.84482758620689,5,15.3,0.88,1.1363636363636365,500,440,5.741935483870961,lumen,3,11_simple,6.524926686217001
101,72.84482758620689,5,12.08,0.88,1.1363636363636365,500,440,4.651515151515142,lumen,4,11_simple,5.285812672176298
106,122.06821705426356,7,14.63,1.095,0.91324200913242,200,219,6.890518084066471,lumen,0,11_simple,6.292710579056138
106,122.06821705426356,7,17.79,1.095,0.91324200913242,200,219,7.772401433691762,lumen,1,11_simple,7.098083501088366
106,122.06821705426356,7,18.11,1.095,0.91324200913242,200,219,7.166666666666671,lumen,2,11_simple,6.5449010654490145
106,122.06821705426356,7,17.13,1.095,0.91324200913242,200,219,6.435736677115983,lumen,3,11_simple,5.877385093256605
106,122.06821705426356,7,16.84,1.095,0.91324200913242,200,219,6.9130434782608745,lumen,4,11_simple,6.313281715306735
106,122.06821705426356,7,16.88,1.095,0.91324200913242,200,219,6.976190476190467,lumen,5,11_simple,6.370950206566636
106,122.06821705426356,7,14.66,1.095,0.91324200913242,200,219,6.62232558139533,lumen,6,11_simple,6.047785919082493
134,70.7138047138047,4,15.06,1.095,0.91324200913242,200,219,6.2690909090909095,lumen,0,11_simple,5.725197177251972
134,70.7138047138047,4,17.43,1.095,0.91324200913242,200,219,6.111111111111114,lumen,1,11_simple,5.58092338914257
134,70.7138047138047,4,16.71,1.095,0.91324200913242,200,219,5.40996168582376,lumen,2,11_simple,4.9406042792911045
134,70.7138047138047,4,14.41,1.095,0.91324200913242,200,219,4.792592592592598,lumen,3,11_simple,4.376796888212418
135,71.7989417989418,4,15.8,1.095,0.91324200913242,200,219,6.333333333333332,lumen,0,11_simple,5.783866057838659
135,71.7989417989418,4,18.4,1.095,0.91324200913242,200,219,6.611111111111107,lumen,1,11_simple,6.037544393708774
135,71.7989417989418,4,16.12,1.095,0.91324200913242,200,219,4.818181818181813,lumen,2,11_simple,4.400166044001655
135,71.7989417989418,4,14.19,1.095,0.91324200913242,200,219,5.502857142857138,lumen,3,11_simple,5.025440313111542
161,107.19342030629608,8,11.55,0.88,1.1363636363636365,500,440,5.204545454545453,lumen,0,11_simple,5.914256198347107
161,107.19342030629608,8,13.96,0.88,1.1363636363636365,500,440,5.729797979797979,lumen,1,11_simple,6.511134067952249
161,107.19342030629608,8,14.08,0.88,1.1363636363636365,500,440,5.78125,lumen,2,11_simple,6.569602272727273
161,107.19342030629608,8,13.71,0.88,1.1363636363636365,500,440,5.091911764705884,lumen,3,11_simple,5.78626336898396
161,107.19342030629608,8,13.2,0.88,1.1363636363636365,500,440,4.99522102747909,lumen,4,11_simple,5.676387531226239
161,107.19342030629608,8,12.18,0.88,1.1363636363636365,500,440,3.869047619047621,lumen,5,11_simple,4.396645021645024
161,107.19342030629608,8,13.33,0.88,1.1363636363636365,500,440,5.109848484848484,lumen,6,11_simple,5.806646005509642
161,107.19342030629608,8,10.99,0.88,1.1363636363636365,500,440,4.943371943371943,lumen,7,11_simple,5.617468117468118
