strip,image_name,px_per_nm,nm_per_px,scale,scale_pixels,grana_height,num_lumen,repeat_distance,lumen_width,lumen_width_heights,type,index,process,lumen_width_nm
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,13.22,4.189839572192511,7650.0,lumen,4,101_otsuOffset,4.761181332036945
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,12.08,3.0465686274509807,7650.0,lumen,5,101_otsuOffset,3.4620098039215694
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,13.4,4.770833333333329,7650.0,lumen,6,101_otsuOffset,5.42140151515151
161,output\trial_1\rois\strip_161.png,0.88,1.1363636363636365,500,440,107.77678571428572,8,11.04,4.691919191919197,7650.0,lumen,7,101_otsuOffset,5.331726354453634
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,12.12,4.314814814814817,7650.0,lumen,0,101_otsuOffset,4.903198653198656
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,14.51,4.8916129032258056,7650.0,lumen,1,101_otsuOffset,5.558651026392961
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,13.86,4.695238095238096,7650.0,lumen,2,101_otsuOffset,5.335497835497837
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,14.14,4.888366627497064,7650.0,lumen,3,101_otsuOffset,5.55496207670121
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,15.56,5.974658869395711,7650.0,lumen,4,101_otsuOffset,6.789385078858762
176,output\trial_1\rois\strip_176.png,0.88,1.1363636363636365,500,440,88.24201474201473,6,12.62,5.166666666666671,7650.0,lumen,5,101_otsuOffset,5.871212121212127
187,output\trial_1\rois\strip_187.png,0.88,1.1363636363636365,500,440,79.6875,5,13.31,5.1278195488721785,7650.0,lumen,0,101_otsuOffset,5.827067669172931
