strip,grana_height,num_lumen,px_per_nm,nm_per_px,scale,scale_pixels,membrane_width,type,index,process,membrane_width_nm
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,4.558651026392962,membrane,0,11_simple,5.18028525726473
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.694444444444445,membrane,1,11_simple,11.016414141414142
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.03846153846154,membrane,2,11_simple,10.270979020979023
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,8.36363636363636,membrane,3,11_simple,9.504132231404956
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.291666666666671,membrane,4,11_simple,10.558712121212128
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,9.055555555555555,membrane,5,11_simple,10.290404040404042
176,87.4090909090909,6,0.88,1.1363636363636365,500,440,5.08647450110864,membrane,6,11_simple,5.780084660350727
187,79.07004830917876,5,0.88,1.1363636363636365,500,440,5.406649616368288,membrane,0,11_simple,6.143920018600328
187,79.07004830917876,5,0.88,1.1363636363636365,500,440,10.109756097560975,membrane,1,11_simple,11.488359201773836
187,79.07004830917876,5,0.88,1.1363636363636365,500,440,9.969298245614034,membrane,2,11_simple,11.328748006379586
187,79.07004830917876,5,0.88,1.1363636363636365,500,440,10.071770334928232,membrane,3,11_simple,11.445193562418446
187,79.07004830917876,5,0.88,1.1363636363636365,500,440,9.409090909090908,membrane,4,11_simple,10.692148760330578
187,79.07004830917876,5,0.88,1.1363636363636365,500,440,4.7222222222222285,membrane,5,11_simple,5.366161616161624
229,121.75974025974024,7,1.095,0.91324200913242,200,219,5.780323450134773,membrane,0,11_simple,5.2788342010363225
229,121.75974025974024,7,1.095,0.91324200913242,200,219,10.024305555555555,membrane,1,11_simple,9.154616945712835
229,121.75974025974024,7,1.095,0.91324200913242,200,219,10.342948717948724,membrane,2,11_simple,9.44561526753308
229,121.75974025974024,7,1.095,0.91324200913242,200,219,10.126876876876878,membrane,3,11_simple,9.248289385275687
